date,suburb,address,action,price,profile,bed,url,bath,car,size,photo
7/09/2019,Epping,73A Epping Av,Sold prior to auction,890000,House,5,https://www.domain.com.au/73a-epping-avenue-epping-nsw-2121-2015526343,3,2,1050,9
7/09/2019,Epping,9/18 Essex St,Sold,1900000,Unit,3,https://www.domain.com.au/9-18-essex-street-epping-nsw-2121-2015511452,1,1,,9
7/09/2019,Epping,15 Orchard St,Sold prior to auction,820000,House,3,https://www.domain.com.au/15-orchard-street-epping-nsw-2121-2015519633,1,2,733,6
7/09/2019,Erskineville,15/15 Knight St,Sold,1100000,Townhouse,2,https://www.domain.com.au/15-15-knight-street-erskineville-nsw-2043-2015521896,1,1,,6
7/09/2019,Erskineville,21 Pleasant Av,Sold,2120000,House,4,https://www.domain.com.au/21-pleasant-avenue-erskineville-nsw-2043-2015523500,3,,190,11
7/09/2019,Fairfield,54 Cathcart St,Sold,785000,House,3,https://www.domain.com.au/54-cathcart-street-fairfield-nsw-2165-2015520068,1,1,584,9
7/09/2019,Fairfield Heights,21 Stella St,Sold,1026000,House,3,https://www.domain.com.au/21-stella-street-fairfield-heights-nsw-2165-2015522977,1,4,,8
7/09/2019,Fairfield West,4 Gregory St,Sold,757000,House,3,https://www.domain.com.au/4-gregory-street-fairfield-west-nsw-2165-2015518706,2,2,,7
7/09/2019,Forestville,5 Cannons Pde,Sold,2575000,House,5,https://www.domain.com.au/5-cannons-parade-forestville-nsw-2087-2015525493,3,2,1081,16
7/09/2019,Frenchs Forest,18 Holland Cr,Sold,1800000,House,5,https://www.domain.com.au/18-holland-crescent-frenchs-forest-nsw-2086-2015305929,3,3,708,15
7/09/2019,Frenchs Forest,30 Kens Rd,Sold prior to auction,1490000,House,3,https://www.domain.com.au/30-kens-road-frenchs-forest-nsw-2086-2015525205,2,2,6956,6
7/09/2019,Frenchs Forest,3 The Crest ,Sold,1615000,House,4,https://www.domain.com.au/3-the-crest-frenchs-forest-nsw-2086-2015532454,3,2,696,8
7/09/2019,Freshwater,46a Brighton St,Sold,0,House,5,https://www.domain.com.au/46a-brighton-street-freshwater-nsw-2096-2015512713,3,2,509,10
7/09/2019,Freshwater,9 Loch St,Sold prior to auction,4925000,House,4,https://www.domain.com.au/9-loch-street-freshwater-nsw-2096-2015506185,3,2,632,12
7/09/2019,Georges Hall,244 Henry Lawson Dr,Sold,685000,House,3,https://www.domain.com.au/244-henry-lawson-drive-georges-hall-nsw-2198-2015522425,2,2,712,10
7/09/2019,Gladesville,22/157 Victoria Rd,Sold,0,Unit,2,https://www.domain.com.au/22-157-victoria-road-gladesville-nsw-2111-2015493445,2,2,,9
