host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month
13,13,2,1,1,55,4,125,4,4,125,125,4,125,30,60,84,284,192,9,0,97,10,10,10,10,10,10,9,9,0,1.88
1,1,2,1,1,90,3,30,3,7,30,30,3.1,30,0,0,0,48,168,14,0,98,10,10,10,10,10,10,1,1,0,2.71
2,2,6,3,5,143,2,90,2,5,90,90,2.4,90,23,53,83,339,53,5,0,97,10,10,9,9,10,10,2,2,0,0.73
1,1,4,2,2,125,2,14,1,2,1125,1125,2,1125,28,58,88,355,25,3,0,90,9,10,10,9,10,9,1,1,0,0.28
2,2,6,2,4,72,2,31,1,2,1125,1125,1.3,1125,1,1,1,1,352,20,0,94,10,10,9,10,10,10,3,3,0,3.5
5,5,4,1,3,20,1,90,1,1,90,90,1,90,30,59,85,360,298,22,0,82,8,8,9,9,8,8,4,0,3,2.92
4,4,2,1,1,75,3,1125,3,3,1125,1125,3,1125,0,0,0,0,398,22,1,97,10,10,10,9,10,10,2,2,0,3.89
1,1,2,1,1,60,3,1125,3,3,1125,1125,3,1125,29,59,82,82,219,19,1,93,10,10,10,10,10,9,1,1,0,2.15
1,1,3,1,2,50,2,14,2,2,14,14,2,14,30,60,90,365,22,1,0,95,10,10,10,10,9,9,1,0,1,0.22
5,5,2,1,2,15,1,28,1,1,28,28,1,28,16,31,44,279,347,15,1,82,8,8,9,9,8,8,4,0,3,3.41
15,15,2,1,1,56,1,1125,1,1,1125,1125,1,1125,30,60,90,365,9,0,0,85,9,8,10,9,8,9,6,2,4,0.09
2,2,4,2,2,103,1,90,1,5,1125,1125,1.1,1125,26,56,86,229,67,17,4,97,10,10,10,10,10,9,1,1,0,1.05
4,4,6,3,3,164,3,330,3,3,330,330,3,330,1,1,1,1,73,1,0,93,9,9,9,9,10,9,2,2,0,0.73
4,4,4,2,3,108,2,180,2,3,180,180,2,180,0,20,30,111,174,4,0,94,10,10,10,10,10,10,4,4,0,1.75
2,2,2,1,1,39,2,30,2,2,30,30,2,30,30,60,90,365,36,1,0,95,9,9,10,10,9,9,2,0,2,0.36
1,1,6,3,3,160,2,30,2,2,30,30,2,30,0,0,0,0,39,0,0,99,10,10,10,10,10,10,1,1,0,0.39
2,2,4,1,2,67,3,1125,3,5,1125,1125,3.1,1125,2,32,62,326,237,12,0,99,10,10,10,10,10,10,2,2,0,2.33
2,2,2,1,1,65,2,1125,2,2,1125,1125,2,1125,0,0,0,0,100,1,0,98,10,10,10,10,10,10,2,0,2,1
16,16,4,2,3,80,2,120,2,5,120,120,2.1,120,0,0,0,0,230,13,0,87,9,9,10,10,10,9,8,8,0,2.44
16,16,4,1,3,59,2,180,2,2,180,180,2,180,0,0,0,0,98,0,0,84,9,9,9,9,9,9,8,8,0,1
1,1,6,3,5,295,3,90,3,3,90,90,3,90,1,1,1,1,17,0,0,96,10,10,10,10,10,10,2,2,0,0.19
4,4,16,5,15,175,1,20,1,1,20,20,1,20,24,50,74,320,122,6,0,87,9,9,9,9,10,9,2,2,0,1.21
2,2,5,2,3,84,2,365,2,2,365,365,2,365,0,1,5,237,421,29,0,97,10,9,10,10,10,10,2,2,0,4.33
1,1,2,1,1,45,1,7,1,1,1125,1125,1,1125,0,0,0,0,300,11,1,99,10,10,10,10,10,10,1,0,1,3.01
2,2,3,1,1,49,2,30,2,2,1125,1125,2,1125,0,0,0,0,79,3,0,94,10,9,10,10,9,9,1,1,0,0.8
2,2,3,2,2,14850,3,365,3,5,365,365,3.1,365,29,56,86,106,41,7,0,93,9,10,10,10,10,9,2,2,0,0.46
1,1,4,2,3,55,3,60,3,3,60,60,3,60,0,0,0,0,353,17,0,99,10,10,10,10,10,10,1,1,0,3.53
1,1,6,2,3,63,2,1125,2,2,1125,1125,2,1125,0,21,33,131,180,14,0,93,10,10,10,10,10,10,1,1,0,1.8
2,2,4,2,4,125,3,365,3,5,365,365,3.4,365,4,4,18,129,13,1,0,90,9,9,10,10,10,9,2,2,0,0.15
1,1,5,3,5,106,3,90,3,3,90,90,3,90,0,0,0,0,265,6,0,97,10,10,10,10,10,10,1,1,0,2.69
2,2,2,1,1,27,2,27,2,2,1125,1125,2,1125,0,0,0,0,152,5,0,98,10,10,10,10,10,10,2,0,2,1.53
16,16,6,1,5,395,2,365,2,2,365,365,2,365,30,60,90,365,2,0,0,100,10,10,10,10,10,10,15,15,0,0.06
16,16,5,2,4,315,3,365,3,3,365,365,3,365,30,60,90,365,6,0,0,96,10,10,10,10,10,10,15,15,0,0.06
16,16,3,1,2,215,3,365,3,3,365,365,3,365,30,60,90,365,2,0,0,100,10,10,10,10,10,9,15,15,0,0.03
16,16,3,1,2,115,3,365,3,3,365,365,3,365,0,0,0,0,2,0,0,100,10,10,9,10,10,10,15,15,0,0.05
16,16,3,1,2,225,3,365,3,3,365,365,3,365,30,60,90,365,2,0,0,80,8,10,10,10,8,7,15,15,0,0.02
16,16,3,1,2,215,7,365,7,7,365,365,7,365,30,60,90,365,3,0,0,90,8,9,10,10,10,9,15,15,0,0.03
16,16,3,1,2,195,3,365,3,3,365,365,3,365,30,60,90,365,1,0,0,100,10,10,10,10,10,10,15,15,0,0.05
16,16,10,4,10,615,3,365,3,3,365,365,3,365,30,60,90,362,15,1,0,98,10,9,10,10,10,9,15,15,0,0.15
16,16,12,4,12,695,3,365,3,3,365,365,3,365,30,60,90,365,12,0,0,97,10,10,10,10,10,10,15,15,0,0.21
16,16,16,4,20,995,3,365,3,3,365,365,3,365,30,60,90,365,24,1,0,95,9,10,10,10,10,9,15,15,0,0.25
16,16,6,3,6,445,2,1125,2,2,1125,1125,2,1125,30,60,90,365,5,0,0,92,8,9,9,9,10,10,15,15,0,0.06
6,6,4,2,3,82,2,99,1,3,28,28,1.5,28,30,60,90,365,102,33,0,90,9,9,9,10,9,9,6,4,0,1.97
1,1,6,3,5,189,2,30,2,3,1125,1125,2.1,1125,0,0,0,15,174,8,0,97,10,10,10,10,10,10,1,1,0,1.76
34,34,2,1,1,40,1,60,1,3,1125,1125,2.2,1125,1,1,1,1,443,42,4,89,9,9,10,9,10,9,28,28,0,4.43
1,1,2,1,1,40,1,60,1,1,60,60,1,60,0,0,16,196,291,16,0,97,10,10,10,10,10,10,1,0,1,2.91
1,1,2,1,1,41,1,4,1,1,4,4,1,4,0,0,0,86,180,0,0,92,9,9,10,10,9,9,1,0,1,1.8
4,4,2,1,0,65,3,1125,3,3,1125,1125,3,1125,0,0,10,100,299,11,0,97,10,10,10,10,10,10,2,2,0,3.01
1,1,8,4,4,110,2,360,2,120,1125,1125,55.8,1125,0,4,27,207,65,5,0,96,10,9,10,10,10,10,1,1,0,0.68
7,7,2,1,1,70,3,30,3,3,1125,1125,3,1125,23,50,77,221,246,20,1,96,10,10,10,10,10,10,7,7,0,2.63
7,7,2,1,1,73,3,31,3,3,31,31,3,31,30,60,90,266,249,19,1,96,10,10,10,10,10,10,7,7,0,2.73
7,7,2,1,1,73,3,30,3,3,1125,1125,3,1125,30,60,90,217,287,12,0,95,10,10,10,10,10,10,7,7,0,2.98
