,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,latitude,longitude
2226,2,2,2,1,1,40,1,1125,1,2,1125,1125,1.3,1125,21,51,77,352,168,7,0,99,10,10,10,10,10,10,2,0,2,3.94,55.93718,-3.17739
2228,1,1,2,1,2,40,2,1125,2,2,1125,1125,2,1125,0,0,0,21,78,1,0,94,9,9,10,10,9,9,1,1,0,1.96,55.93773,-3.21858
2241,1,1,2,1,1,40,2,365,2,2,1125,1125,2,1125,5,31,61,156,98,5,0,98,10,10,10,10,10,9,1,1,0,2.34,55.9506,-3.21606
2266,2,2,2,1,1,40,2,1125,1,2,1125,1125,1.3,1125,30,60,90,90,83,3,0,97,10,10,10,10,10,10,2,0,2,1.98,55.9511,-3.19932
2315,1,1,2,1,1,40,2,1125,2,2,1125,1125,2,1125,28,58,88,363,30,0,0,98,10,10,10,10,9,10,1,0,1,0.76,55.8999,-3.30492
2331,1,1,2,0,1,40,2,14,2,2,14,14,2,14,0,0,0,0,16,1,0,90,9,9,10,9,10,10,1,0,1,0.39,55.96144,-3.1828
2372,2,2,4,1,1,40,2,1125,2,4,1125,1125,2.1,1125,26,56,86,308,198,35,5,97,10,9,10,10,10,9,3,3,0,4.96,55.9549,-3.1697
2375,2,2,1,1,1,40,1,7,1,1,1125,1125,1,1125,1,1,1,1,7,2,0,86,9,9,9,9,8,9,1,0,1,0.17,55.91453,-3.14576
2393,1,1,3,2,2,40,2,365,2,2,1125,1125,2,1125,0,0,0,0,97,5,1,98,10,10,10,10,10,9,1,1,0,2.5,55.9538,-3.16102
2402,1,1,4,2,2,40,2,365,2,2,1125,1125,2,1125,0,0,0,0,148,18,0,92,10,9,10,10,10,9,1,1,0,3.67,55.96022,-3.18109
2434,1,1,4,1,1,40,1,1125,1,1,1125,1125,1,1125,1,30,60,335,268,28,1,97,10,10,10,10,10,10,1,0,1,6.83,55.95969,-3.18793
2444,1,1,2,1,1,40,1,1125,1,1,1125,1125,1,1125,29,59,89,89,57,0,0,89,10,9,9,9,10,9,1,0,1,1.43,55.94414,-3.20182
2446,1,1,2,1,1,40,1,3,1,1,3,3,1,3,28,58,88,88,4,0,0,100,10,9,10,10,9,9,1,0,1,0.1,55.9255,-3.12023
2454,2,2,1,1,1,40,7,30,7,7,1125,1125,7,1125,5,27,42,42,4,0,0,95,10,10,10,10,10,10,1,1,0,0.1,55.95798,-3.17289
2577,3,3,2,1,1,40,3,31,2,3,1125,1125,2.7,1125,30,60,90,90,82,4,1,96,10,9,10,10,10,10,3,1,2,2.12,55.94589,-3.20263
2592,2,2,1,1,1,40,2,1125,2,2,1125,1125,2,1125,0,0,0,0,7,0,0,97,10,10,10,10,10,10,2,0,2,0.18,55.91045,-3.21921
2645,1,1,2,1,1,40,1,1125,1,2,1125,1125,1.1,1125,0,0,18,293,120,8,0,98,10,10,10,10,10,10,1,0,1,3.04,55.9404,-3.21693
2669,2,2,1,1,1,40,2,1125,2,2,1125,1125,2,1125,0,0,0,0,17,1,0,99,10,10,10,10,9,10,2,0,2,0.43,55.90618,-3.22322
2685,2,2,2,1,1,40,2,365,2,2,1125,1125,2,1125,11,37,61,75,122,11,1,91,10,10,10,10,10,9,2,2,0,3.14,55.95049,-3.19209
2779,5,5,1,1,1,40,2,1125,2,2,1125,1125,2,1125,29,59,89,179,6,1,0,93,9,9,9,9,9,9,5,0,4,0.21,55.90759,-3.17286
2781,5,5,2,1,1,40,1,1125,1,1,1125,1125,1,1125,30,60,90,365,4,1,0,100,10,9,10,10,10,9,5,0,4,0.22,55.90603,-3.17188
2802,3,3,5,3,3,40,2,1125,2,3,1125,1125,2.3,1125,25,42,64,154,93,20,1,86,9,8,10,9,10,9,2,2,0,2.46,55.94423,-3.21759
2836,0,0,2,1,1,40,1,200,1,90,1125,1125,76.9,1125,30,60,90,281,34,0,0,99,10,10,10,10,10,10,1,0,1,0.92,55.94349,-3.22313
2842,5,5,3,2,3,40,2,1125,2,2,1125,1125,2,1125,30,60,90,180,20,0,0,94,10,9,10,10,9,10,5,0,4,0.59,55.90638,-3.17285
