Player,Club,Position
Stephen Hill,Fremantle,Midfielder
Tom North,Fremantle,Midfielder
Luke Valente,Fremantle,Midfielder
Tim Kelly,Geelong Cats,Midfielder
Joel Selwood,Geelong Cats,Midfielder
Mitch Duncan,Geelong Cats,Midfielder
Cameron Guthrie,Geelong Cats,Midfielder
Jordan Clark,Geelong Cats,Midfielder
Jordan Cunico,Geelong Cats,Midfielder
Scott Selwood,Geelong Cats,Midfielder
Charlie Constable,Geelong Cats,Midfielder
Jacob Kennerley,Geelong Cats,Midfielder
Touk Miller,Gold Coast Suns,Midfielder
David Swallow,Gold Coast Suns,Midfielder
Jack Bowes,Gold Coast Suns,Midfielder
Brayden Fiorini,Gold Coast Suns,Midfielder
Jordan Murdoch,Gold Coast Suns,Midfielder
Anthony Miles,Gold Coast Suns,Midfielder
Will Brodie,Gold Coast Suns,Midfielder
George Horlin-Smith,Gold Coast Suns,Midfielder
Corey Ellis,Gold Coast Suns,Midfielder
Jacob Dawson,Gold Coast Suns,Midfielder
Sam Fletcher,Gold Coast Suns,Midfielder
Mitch Riordan,Gold Coast Suns,Midfielder
Stephen Coniglio,GWS Giants,Midfielder
Josh Kelly,GWS Giants,Midfielder
Jacob Hopper,GWS Giants,Midfielder
Callan Ward,GWS Giants,Midfielder
Tim Taranto,GWS Giants,Midfielder
Adam Tomlinson,GWS Giants,Midfielder
Harry Perryman,GWS Giants,Midfielder
Tom Sheridan,GWS Giants,Midfielder
Jackson Hately,GWS Giants,Midfielder
Jye Caldwell,GWS Giants,Midfielder
Nick Shipley,GWS Giants,Midfielder
Jack Buckley,GWS Giants,Midfielder
Xavier OHalloran,GWS Giants,Midfielder
Liam Shiels,Hawthorn,Midfielder
Ricky Henderson,Hawthorn,Midfielder
Jaeger OMeara,Hawthorn,Midfielder
Shaun Burgoyne,Hawthorn,Midfielder
James Worpel,Hawthorn,Midfielder
Tom Mitchell,Hawthorn,Midfielder
Isaac Smith,Hawthorn,Midfielder
Daniel Howe,Hawthorn,Midfielder
Tom Scully,Hawthorn,Midfielder
James Cousins,Hawthorn,Midfielder
Will Golds,Hawthorn,Midfielder
Harrison Jones,Hawthorn,Midfielder
Clayton Oliver,Melbourne,Midfielder
Angus Brayshaw,Melbourne,Midfielder
James Harmes,Melbourne,Midfielder
Bayley Fritsch,Melbourne,Midfielder
Jack Viney,Melbourne,Midfielder
Nathan Jones,Melbourne,Midfielder
Billy Stretch,Melbourne,Midfielder
Jay Kennedy Harris,Melbourne,Midfielder
Oskar Baker,Melbourne,Midfielder
Kade Chandler,Melbourne,Midfielder
Corey Maynard,Melbourne,Midfielder
James Jordon,Melbourne,Midfielder
Aaron Nietschke,Melbourne,Midfielder
Ben Cunnington,North Melbourne,Midfielder
Shaun Higgins,North Melbourne,Midfielder
Jed Anderson,North Melbourne,Midfielder
Jared Polec,North Melbourne,Midfielder
Trent Dumont,North Melbourne,Midfielder
Dom Tyson,North Melbourne,Midfielder
Paul Ahern,North Melbourne,Midfielder
Ben Jacobs,North Melbourne,Midfielder
Aaron Hall,North Melbourne,Midfielder
Kyron Hayden,North Melbourne,Midfielder
Tom McKenzie,North Melbourne,Midfielder
Ollie Wines,Port Adelaide,Midfielder
Tom Rockliff,Port Adelaide,Midfielder
Brad Ebert,Port Adelaide,Midfielder
Sam Powell-Pepper,Port Adelaide,Midfielder
Karl Amon,Port Adelaide,Midfielder
Xavier Duursma,Port Adelaide,Midfielder
Willem Drew,Port Adelaide,Midfielder
Cam Sutcliffe,Port Adelaide,Midfielder
Joe Atley,Port Adelaide,Midfielder
Kai Pudney,Port Adelaide,Midfielder
Dion Prestia,Richmond,Midfielder
Trent Cotchin,Richmond,Midfielder
Jack Graham,Richmond,Midfielder
Kamdyn McIntosh,Richmond,Midfielder
Shaun Grigg,Richmond,Midfielder
Jack Ross,Richmond,Midfielder
Patrick Naish,Richmond,Midfielder
Oleg Markov,Richmond,Midfielder
Riley Collier-Dawkins,Richmond,Midfielder
Marlion Pickett,Richmond,Midfielder
Fraser Turner,Richmond,Midfielder
Sebastian Ross,St Kilda,Midfielder
Jack Steele,St Kilda,Midfielder
Jack Steven,St Kilda,Midfielder
Luke Dunstan,St Kilda,Midfielder
Jack Newnes,St Kilda,Midfielder
Dan Hannebery,St Kilda,Midfielder
Ed Phillips,St Kilda,Midfielder
Jack Bytel,St Kilda,Midfielder
Luke Parker,Sydney Swans,Midfielder
Josh Kennedy,Sydney Swans,Midfielder
George Hewett,Sydney Swans,Midfielder
Oliver Florent,Sydney Swans,Midfielder
Harry Cunningham,Sydney Swans,Midfielder
Jackson Thurlow,Sydney Swans,Midfielder
James Bell,Sydney Swans,Midfielder
Elliot Yeo,West Coast Eagles,Midfielder
Luke Shuey,West Coast Eagles,Midfielder
Andrew Gaff,West Coast Eagles,Midfielder
Dom Sheed,West Coast Eagles,Midfielder
Jack Redden,West Coast Eagles,Midfielder
Chris Masten,West Coast Eagles,Midfielder
Mark Hutchings,West Coast Eagles,Midfielder
Matthew Allen,West Coast Eagles,Midfielder
Hamish Brayshaw,West Coast Eagles,Midfielder
Xavier ONeill,West Coast Eagles,Midfielder
Marcus Bontempelli,Western Bulldogs,Midfielder
Jack Macrae,Western Bulldogs,Midfielder
Lachie Hunter,Western Bulldogs,Midfielder
Tom Liberatore,Western Bulldogs,Midfielder
Will Hayes,Western Bulldogs,Midfielder
Rhylee West,Western Bulldogs,Midfielder
Callum Porter,Western Bulldogs,Midfielder
Hugh Greenwood,Adelaide Crows,Midfielder/Forward
Richard Douglas,Adelaide Crows,Midfielder/Forward
Riley Knight,Adelaide Crows,Midfielder/Forward
Patrick Wilson,Adelaide Crows,Midfielder/Forward
Rhys Mathieson,Brisbane Lions,Midfielder/Forward
Zac Bailey,Brisbane Lions,Midfielder/Forward
Brandon Starcevich,Brisbane Lions,Midfielder/Forward
Ben Keays,Brisbane Lions,Midfielder/Forward
Ely Smith,Brisbane Lions,Midfielder/Forward
Toby Wooller,Brisbane Lions,Midfielder/Forward
Zac Fisher,Carlton,Midfielder/Forward
Sam Petrevski-Seton,Carlton,Midfielder/Forward
Paddy Dow,Carlton,Midfielder/Forward
Matthew Kennedy,Carlton,Midfielder/Forward
David Cuningham,Carlton,Midfielder/Forward
Darcy Lang,Carlton,Midfielder/Forward
Will Setterfield,Carlton,Midfielder/Forward
Matthew Cottrell,Carlton,Midfielder/Forward
Jordan de Goey,Collingwood,Midfielder/Forward
Will Hoskin-Elliott,Collingwood,Midfielder/Forward
Rupert Wills,Collingwood,Midfielder/Forward
Tim Broomhead,Collingwood,Midfielder/Forward
Darcy Parish,Essendon,Midfielder/Forward
Kyle Langford,Essendon,Midfielder/Forward
Devon Smith,Essendon,Midfielder/Forward
Brayden Ham,Essendon,Midfielder/Forward
Michael Walters,Fremantle,Midfielder/Forward
Darcy Tucker,Fremantle,Midfielder/Forward
Andrew Brayshaw,Fremantle,Midfielder/Forward
Bailey Banfield,Fremantle,Midfielder/Forward
Travis Colyer,Fremantle,Midfielder/Forward
Patrick Dangerfield,Geelong Cats,Midfielder/Forward
Gary Ablett,Geelong Cats,Midfielder/Forward
Sam Menegola,Geelong Cats,Midfielder/Forward
Luke Dahlhaus,Geelong Cats,Midfielder/Forward
Jack Martin,Gold Coast Suns,Midfielder/Forward
Wil Powell,Gold Coast Suns,Midfielder/Forward
Brad Scheer,Gold Coast Suns,Midfielder/Forward
Josh Schoenfeld,Gold Coast Suns,Midfielder/Forward
Lachie Whitfield,GWS Giants,Midfielder/Forward
Matt de Boer,GWS Giants,Midfielder/Forward
Brett Deledio,GWS Giants,Midfielder/Forward
Chad Wingard,Hawthorn,Midfielder/Forward
Harry Morrison,Hawthorn,Midfielder/Forward
Oliver Hanrahan,Hawthorn,Midfielder/Forward
Will Langford,Hawthorn,Midfielder/Forward
Christian Petracca,Melbourne,Midfielder/Forward
Corey Wagner,Melbourne,Midfielder/Forward
Aaron vandenBerg,Melbourne,Midfielder/Forward
Jack Ziebell,North Melbourne,Midfielder/Forward
Jy Simpkin,North Melbourne,Midfielder/Forward
Luke Davies-Uniacke,North Melbourne,Midfielder/Forward
Bailey Scott,North Melbourne,Midfielder/Forward
Travis Boak,Port Adelaide,Midfielder/Forward
Robbie Gray,Port Adelaide,Midfielder/Forward
Steven Motlop,Port Adelaide,Midfielder/Forward
Jake Patmore,Port Adelaide,Midfielder/Forward
Dustin Martin,Richmond,Midfielder/Forward
Shane Edwards,Richmond,Midfielder/Forward
Kane Lambert,Richmond,Midfielder/Forward
Josh Caddy,Richmond,Midfielder/Forward
Luke English,Richmond,Midfielder/Forward
Jack Sinclair,St Kilda,Midfielder/Forward
Jack Billings,St Kilda,Midfielder/Forward
Blake Acres,St Kilda,Midfielder/Forward
David Armitage,St Kilda,Midfielder/Forward
Isaac Heeney,Sydney Swans,Midfielder/Forward
Kieren Jack,Sydney Swans,Midfielder/Forward
James Rowbottom,Sydney Swans,Midfielder/Forward
Justin McInerney,Sydney Swans,Midfielder/Forward
Zac Foot,Sydney Swans,Midfielder/Forward
Cody Hirst,Sydney Swans,Midfielder/Forward
Sam Wicks,Sydney Swans,Midfielder/Forward
Brayden Ainsworth,West Coast Eagles,Midfielder/Forward
Josh Dunkley,Western Bulldogs,Midfielder/Forward
Toby McLean,Western Bulldogs,Midfielder/Forward
Mitch Wallis,Western Bulldogs,Midfielder/Forward
Sam Lloyd,Western Bulldogs,Midfielder/Forward
Patrick Lipinski,Western Bulldogs,Midfielder/Forward
Bailey Smith,Western Bulldogs,Midfielder/Forward
Bailey Dale,Western Bulldogs,Midfielder/Forward
Lin Jong,Western Bulldogs,Midfielder/Forward
Liam Picken,Western Bulldogs,Midfielder/Forward
Sam Jacobs,Adelaide Crows,Ruck
Reilly OBrien,Adelaide Crows,Ruck
Paul Hunter,Adelaide Crows,Ruck
Stefan Martin,Brisbane Lions,Ruck
Archie Smith,Brisbane Lions,Ruck
Matthew Kreuzer,Carlton,Ruck
Andrew Phillips,Carlton,Ruck
Matthew Lobbe,Carlton,Ruck
Brodie Grundy,Collingwood,Ruck
Max Lynch,Collingwood,Ruck
Tom Bellchambers,Essendon,Ruck
Zac Clarke,Essendon,Ruck
Sam Draper,Essendon,Ruck
Rory Lobb,Fremantle,Ruck
Aaron Sandilands,Fremantle,Ruck
Sean Darcy,Fremantle,Ruck
Lloyd Meek,Fremantle,Ruck
Rhys Stanley,Geelong Cats,Ruck
Zac Smith,Geelong Cats,Ruck
Ryan Abbott,Geelong Cats,Ruck
Jarrod Witts,Gold Coast Suns,Ruck
Tom Nicholls,Gold Coast Suns,Ruck
Dawson Simpson,GWS Giants,Ruck
Shane Mumford,GWS Giants,Ruck
Matthew Flynn,GWS Giants,Ruck
Ben McEvoy,Hawthorn,Ruck
Jonathon Ceglar,Hawthorn,Ruck
Marc Pittonet,Hawthorn,Ruck
Ned Reeves,Hawthorn,Ruck
Max Gawn,Melbourne,Ruck
Braydon Preuss,Melbourne,Ruck
Austin Bradtke,Melbourne,Ruck
Todd Goldstein,North Melbourne,Ruck
Tristan Xerri,North Melbourne,Ruck
Paddy Ryder,Port Adelaide,Ruck
Scott Lycett,Port Adelaide,Ruck
Sam Hayes,Port Adelaide,Ruck
Toby Nankervis,Richmond,Ruck
Ivan Soldo,Richmond,Ruck
Mabior Chol,Richmond,Ruck
Callum Coleman-Jones,Richmond,Ruck
Rowan Marshall,St Kilda,Ruck
Billy Longer,St Kilda,Ruck
Lewis Pierce,St Kilda,Ruck
Sam Alabakis,St Kilda,Ruck
Callum Sinclair,Sydney Swans,Ruck
Sam Naismith,Sydney Swans,Ruck
Darcy Cameron,Sydney Swans,Ruck
Joel Amartey,Sydney Swans,Ruck
Michael Knoll,Sydney Swans,Ruck
Tom Hickey,West Coast Eagles,Ruck
Nic Naitanui,West Coast Eagles,Ruck
Nathan Vardy,West Coast Eagles,Ruck
Keegan Brooksby,West Coast Eagles,Ruck
Bailey J. Williams,West Coast Eagles,Ruck
Tim English,Western Bulldogs,Ruck
Tom Boyd,Western Bulldogs,Ruck
Jordon Sweet,Western Bulldogs,Ruck
Rory Laird,Adelaide Crows,Small/Medium Defender
Wayne Milera,Adelaide Crows,Small/Medium Defender
Brodie Smith,Adelaide Crows,Small/Medium Defender
Luke Brown,Adelaide Crows,Small/Medium Defender
Jake Kelly,Adelaide Crows,Small/Medium Defender
Tom Doedee,Adelaide Crows,Small/Medium Defender
Will Hamill,Adelaide Crows,Small/Medium Defender
Andrew McPherson,Adelaide Crows,Small/Medium Defender
Lachlan Sholl,Adelaide Crows,Small/Medium Defender
Daniel Rich,Brisbane Lions,Small/Medium Defender
Luke Hodge,Brisbane Lions,Small/Medium Defender
Darcy Gardiner,Brisbane Lions,Small/Medium Defender
Alex Witherden,Brisbane Lions,Small/Medium Defender
Ryan Lester,Brisbane Lions,Small/Medium Defender
Nick Robertson,Brisbane Lions,Small/Medium Defender
Noah Answerth,Brisbane Lions,Small/Medium Defender
Cedric Cox,Brisbane Lions,Small/Medium Defender
James Madden,Brisbane Lions,Small/Medium Defender
Kade Simpson,Carlton,Small/Medium Defender
Dale Thomas,Carlton,Small/Medium Defender
Nic Newman,Carlton,Small/Medium Defender
Liam Stocker,Carlton,Small/Medium Defender
Tom Williamson,Carlton,Small/Medium Defender
Sam Docherty,Carlton,Small/Medium Defender
Jack Crisp,Collingwood,Small/Medium Defender
Jeremy Howe,Collingwood,Small/Medium Defender
Brayden Maynard,Collingwood,Small/Medium Defender
Tom Langdon,Collingwood,Small/Medium Defender
James Aish,Collingwood,Small/Medium Defender
Matt Scharenberg,Collingwood,Small/Medium Defender
Levi Greenwood,Collingwood,Small/Medium Defender
Sam Murray,Collingwood,Small/Medium Defender
Flynn Appleby,Collingwood,Small/Medium Defender
Tyson Goldsack,Collingwood,Small/Medium Defender
Isaac Quaynor,Collingwood,Small/Medium Defender
John Noble,Collingwood,Small/Medium Defender
Nathan Murphy,Collingwood,Small/Medium Defender
Conor McKenna,Essendon,Small/Medium Defender
Adam Saad,Essendon,Small/Medium Defender
Mason Redman,Essendon,Small/Medium Defender
Ben McNiece,Essendon,Small/Medium Defender
Matt Dea,Essendon,Small/Medium Defender
Martin Gleeson,Essendon,Small/Medium Defender
Jordan Ridley,Essendon,Small/Medium Defender
Luke Ryan,Fremantle,Small/Medium Defender
Nathan Wilson,Fremantle,Small/Medium Defender
Adam Cerra,Fremantle,Small/Medium Defender
Ethan Hughes,Fremantle,Small/Medium Defender
Connor Blakely,Fremantle,Small/Medium Defender
Taylin Duman,Fremantle,Small/Medium Defender
Ryan Nyhuis,Fremantle,Small/Medium Defender
Jason Carter,Fremantle,Small/Medium Defender
Zach Tuohy,Geelong Cats,Small/Medium Defender
Jack Henry,Geelong Cats,Small/Medium Defender
Jed Bews,Geelong Cats,Small/Medium Defender
Mark OConnor,Geelong Cats,Small/Medium Defender
Zach Guthrie,Geelong Cats,Small/Medium Defender
Oscar Brownless,Geelong Cats,Small/Medium Defender
Stefan Okunbor,Geelong Cats,Small/Medium Defender
Lachie Weller,Gold Coast Suns,Small/Medium Defender
Jarrod Harbrow,Gold Coast Suns,Small/Medium Defender
Jesse Joyce,Gold Coast Suns,Small/Medium Defender
Michael Rischitelli,Gold Coast Suns,Small/Medium Defender
Pearce Hanley,Gold Coast Suns,Small/Medium Defender
Jacob Heron,Gold Coast Suns,Small/Medium Defender
Jez McLennan,Gold Coast Suns,Small/Medium Defender
Harrison Wigg,Gold Coast Suns,Small/Medium Defender
Zac Williams,GWS Giants,Small/Medium Defender
Heath Shaw,GWS Giants,Small/Medium Defender
Adam Kennedy,GWS Giants,Small/Medium Defender
Sam J. Reid,GWS Giants,Small/Medium Defender
Matt Buntine,GWS Giants,Small/Medium Defender
Isaac Cumming,GWS Giants,Small/Medium Defender
Jake Stein,GWS Giants,Small/Medium Defender
Callum M. Brown,GWS Giants,Small/Medium Defender
James Sicily,Hawthorn,Small/Medium Defender
Blake Hardwick,Hawthorn,Small/Medium Defender
Jarman Impey,Hawthorn,Small/Medium Defender
Ben Stratton,Hawthorn,Small/Medium Defender
Jack Scrimshaw,Hawthorn,Small/Medium Defender
David Mirra,Hawthorn,Small/Medium Defender
Teia Miles,Hawthorn,Small/Medium Defender
Conor Glass,Hawthorn,Small/Medium Defender
Grant Birchall,Hawthorn,Small/Medium Defender
Damon Greaves,Hawthorn,Small/Medium Defender
Christian Salem,Melbourne,Small/Medium Defender
Jordan Lewis,Melbourne,Small/Medium Defender
Michael Hibberd,Melbourne,Small/Medium Defender
Neville Jetta,Melbourne,Small/Medium Defender
Jayden Hunt,Melbourne,Small/Medium Defender
Josh Wagner,Melbourne,Small/Medium Defender
Kade Kolodjashnij,Melbourne,Small/Medium Defender
Joel Smith,Melbourne,Small/Medium Defender
Guy Walker,Melbourne,Small/Medium Defender
Jamie Macmillan,North Melbourne,Small/Medium Defender
Jasper Pittard,North Melbourne,Small/Medium Defender
Marley Williams,North Melbourne,Small/Medium Defender
Luke McDonald,North Melbourne,Small/Medium Defender
Sam Wright,North Melbourne,Small/Medium Defender
Tom Murphy,North Melbourne,Small/Medium Defender
Joel Crocker,North Melbourne,Small/Medium Defender
Dan Houston,Port Adelaide,Small/Medium Defender
